time,energy,energy_cumulative,energy_lag,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp
2022-07-28 08:00:00,2090.0,9266272.0,9264182.0,294.828839,294.828839,20.02307692307692,60.873684210526314,82.2,23.0625
2022-07-28 09:00:00,2222.0,9268494.0,9266272.0,374.7536975097276,374.7536975097276,21.786666666666672,68.58636363636361,77.2,26.05
2022-07-28 10:00:00,2166.0,9270660.0,9268494.0,137.30151815950921,137.30151815950921,20.366666666666667,64.83500000000001,69.2,26.406666666666663
2022-07-28 11:00:00,2357.0,9273017.0,9270660.0,149.0156838607595,149.0156838607595,20.194444444444446,66.08148148148149,62.20000000000001,27.889473684210525
2022-07-28 12:00:00,2482.0,9275499.0,9273017.0,158.60509269113152,158.60509269113152,19.349999999999998,64.99565217391306,56.20000000000001,28.894117647058824
2022-07-28 13:00:00,2673.0,9278172.0,9275499.0,206.5500476385542,206.5500476385542,17.872222222222224,61.54615384615385,51.2,28.765000000000004
2022-07-28 14:00:00,2430.0,9280602.0,9278172.0,170.60944080924855,170.60944080924855,17.433333333333334,61.583999999999996,48.2,29.375
2022-07-28 15:00:00,2297.0,9282899.0,9280602.0,132.08717864661654,132.08717864661654,16.066666666666666,59.004,46.2,29.07894736842105
2022-07-28 16:00:00,1858.0,9284757.0,9282899.0,76.8792596692112,76.8792596692112,15.955555555555557,59.224999999999994,44.2,29.427272727272726
2022-07-28 17:00:00,1775.0,9286532.0,9284757.0,49.07046428015564,49.07046428015564,15.650000000000002,58.40714285714285,,29.49
2022-07-28 18:00:00,1706.0,9288238.0,9286532.0,21.191828644067797,21.191828644067797,13.469999999999999,52.15,,27.255555555555553
2022-07-28 19:00:00,1642.0,9289880.0,9288238.0,7.687346097560976,7.687346097560976,11.125,45.6,,24.300000000000004
2022-07-28 20:00:00,1247.0,9291127.0,9289880.0,5.4255675000000005,5.4255675000000005,10.3,42.6,46.2,22.475
2022-07-28 21:00:00,1147.0,9292274.0,9291127.0,5.34328,5.34328,10.966666666666669,42.6,50.20000000000001,21.599999999999998
2022-07-28 22:00:00,1091.0,9293365.0,9292274.0,5.425565000000001,5.425565000000001,,41.6,54.2,20.633333333333336
2022-07-28 23:00:00,1079.0,9294444.0,9293365.0,5.425565000000001,5.425565000000001,11.733333333333334,42.1,57.2,20.450000000000003
2022-07-29 00:00:00,1079.0,9295523.0,9294444.0,5.425565000000001,5.425565000000001,12.299999999999999,42.6,61.2,19.75
2022-07-29 01:00:00,1079.0,9296602.0,9295523.0,5.50785,5.50785,13.15,44.1,64.2,20.2
2022-07-29 02:00:00,1055.0,9297657.0,9296602.0,5.398136666666667,5.398136666666667,13.0,43.6,66.2,19.599999999999998
2022-07-29 03:00:00,1066.0,9298723.0,9297657.0,5.4529933333333345,5.4529933333333345,13.3,42.6,68.2,19.0
2022-07-29 04:00:00,1055.0,9299778.0,9298723.0,17.02260278106509,17.02260278106509,13.299999999999999,43.6,70.2,18.85
2022-07-29 05:00:00,1275.0,9301053.0,9299778.0,46.54691994236311,46.54691994236311,15.175,48.1,72.2,20.41666666666667
2022-07-29 06:00:00,1559.0,9302612.0,9301053.0,75.00698018372704,75.00698018372704,18.72,58.40833333333333,,23.599999999999998
2022-07-29 07:00:00,2050.0,9304662.0,9302612.0,97.1648023372781,97.1648023372781,20.775,67.17647058823529,69.2,26.966666666666665
2022-07-29 08:00:00,2421.0,9307083.0,9304662.0,152.16262795013853,152.16262795013853,21.081818181818186,69.54705882352941,64.2,29.09090909090909
2022-07-29 09:00:00,2566.0,9309649.0,9307083.0,273.6511189528796,273.6511189528796,19.0,64.37826086956522,58.20000000000001,28.2923076923077
2022-07-29 10:00:00,2121.0,9311770.0,9309649.0,302.7671589593909,302.7671589593909,17.477777777777778,59.872727272727275,53.2,27.8
2022-07-29 11:00:00,1879.0,9313649.0,9311770.0,394.26358464953273,394.26358464953273,17.333333333333332,60.35555555555556,50.2,28.48
2022-07-29 12:00:00,1762.0,9315411.0,9313649.0,362.904855707196,362.904855707196,16.755555555555556,59.75833333333332,48.2,28.41111111111111
2022-07-29 13:00:00,1634.0,9317045.0,9315411.0,274.6084796142433,274.6084796142433,16.520000000000003,58.5875,,28.828571428571426
2022-07-29 14:00:00,1539.0,9318584.0,9317045.0,307.46551984042554,307.46551984042554,15.988888888888889,58.43076923076923,46.2,28.924999999999997
2022-07-29 15:00:00,1498.0,9320082.0,9318584.0,267.1980334673367,267.1980334673367,16.366666666666667,60.208333333333336,44.2,29.772727272727277
2022-07-29 16:00:00,1451.0,9321533.0,9320082.0,117.2654535409836,117.2654535409836,15.9625,59.08571428571428,,30.0125
2022-07-29 17:00:00,1394.0,9322927.0,9321533.0,54.644132666666664,54.644132666666664,14.964285714285714,56.91999999999998,42.2,29.263636363636365
2022-07-29 18:00:00,1347.0,9324274.0,9322927.0,29.74109277173913,29.74109277173913,12.466666666666667,49.29999999999999,,26.475
2022-07-29 19:00:00,1295.0,9325569.0,9324274.0,6.0015475,6.0015475,11.65,46.8,44.2,24.96
2022-07-29 20:00:00,1238.0,9326807.0,9325569.0,7.6760065,7.6760065,12.228571428571428,46.1,47.2,23.816666666666666
2022-07-29 21:00:00,1167.0,9327974.0,9326807.0,7.4206877647058835,7.4206877647058835,10.8,42.12,51.2,21.5875
2022-07-29 22:00:00,1067.0,9329041.0,9327974.0,5.425565000000001,5.425565000000001,10.799999999999999,,56.20000000000001,19.633333333333336
2022-07-29 23:00:00,1055.0,9330096.0,9329041.0,5.425565000000001,5.425565000000001,11.65,,62.20000000000001,18.85
2022-07-30 00:00:00,1083.0,9331179.0,9330096.0,5.425565000000001,5.425565000000001,12.625000000000002,41.6,67.2,
2022-07-30 01:00:00,1055.0,9332234.0,9331179.0,,,13.975,44.1,71.2,19.099999999999998
2022-07-30 02:00:00,1051.0,9333285.0,9332234.0,5.343283333333333,5.343283333333333,14.800000000000002,45.67142857142858,75.2,19.17142857142857
2022-07-30 03:00:00,1043.0,9334328.0,9333285.0,6.836132857142857,6.836132857142857,15.137500000000001,46.1,78.2,19.157142857142862
2022-07-30 04:00:00,1039.0,9335367.0,9334328.0,6.98410294117647,6.98410294117647,14.8,45.1,80.2,18.0
2022-07-30 05:00:00,1019.0,9336386.0,9335367.0,21.893924516129033,21.893924516129033,15.466666666666669,46.6,82.2,18.450000000000003
2022-07-30 06:00:00,1027.0,9337413.0,9336386.0,37.755048470588235,37.755048470588235,15.950000000000001,47.6,84.2,18.3
2022-07-30 07:00:00,1027.0,9338440.0,9337413.0,49.91104781163435,49.91104781163435,16.25,48.1,,18.75
2022-07-30 08:00:00,1019.0,9339459.0,9338440.0,114.86083836805557,114.86083836805557,17.450000000000003,52.10000000000001,,19.9
2022-07-30 09:00:00,1023.0,9340482.0,9339459.0,332.53285002392346,332.53285002392346,19.42727272727273,59.03333333333334,,22.13
2022-07-30 10:00:00,1051.0,9341533.0,9340482.0,441.8967601629328,441.8967601629328,20.133333333333333,61.21666666666666,81.2,23.6
2022-07-30 11:00:00,1067.0,9342600.0,9341533.0,265.5881893139842,265.5881893139842,18.7125,57.89999999999999,77.2,22.88888888888889
2022-07-30 12:00:00,1082.0,9343682.0,9342600.0,334.42163760330584,334.42163760330584,19.083333333333336,59.556250000000006,74.2,23.88333333333333
2022-07-30 13:00:00,1079.0,9344761.0,9343682.0,330.8704632563025,330.8704632563025,18.992307692307694,59.54210526315789,72.2,24.299999999999997
2022-07-30 14:00:00,1083.0,9345844.0,9344761.0,106.27885853658535,106.27885853658535,20.892307692307693,67.06470588235294,69.2,26.97857142857143
2022-07-30 15:00:00,1119.0,9346963.0,9345844.0,123.45432231601731,123.45432231601731,18.618181818181817,60.94666666666665,65.2,25.853846153846156
2022-07-30 16:00:00,1147.0,9348110.0,9346963.0,64.79953384810126,64.79953384810126,17.855555555555558,59.550000000000004,60.20000000000001,26.1625
2022-07-30 17:00:00,1171.0,9349281.0,9348110.0,47.673396562499995,47.673396562499995,16.43,56.07692307692308,55.2,26.10833333333333
2022-07-30 18:00:00,1143.0,9350424.0,9349281.0,20.849775234375002,20.849775234375002,13.299999999999999,48.9,51.2,24.333333333333332
2022-07-30 19:00:00,1163.0,9351587.0,9350424.0,7.295376896551724,7.295376896551724,10.64,42.4,48.2,22.125
2022-07-30 20:00:00,1070.0,9352657.0,9351587.0,5.8369825,5.8369825,8.940000000000001,37.9,,20.300000000000004
2022-07-30 21:00:00,1003.0,9353660.0,9352657.0,5.425565000000001,5.425565000000001,7.3,34.9,,18.85
2022-07-30 22:00:00,1007.0,9354667.0,9353660.0,5.606588,5.606588,7.233333333333333,33.9,50.2,17.78
2022-07-30 23:00:00,1019.0,9355686.0,9354667.0,5.34328,5.34328,7.62,32.9,53.2,17.0
2022-07-31 00:00:00,1031.0,9356717.0,9355686.0,5.376196,5.376196,8.0,33.9,56.2,16.85
2022-07-31 01:00:00,1015.0,9357732.0,9356717.0,5.425565000000001,5.425565000000001,8.700000000000001,33.9,59.2,16.3
2022-07-31 02:00:00,1031.0,9358763.0,9357732.0,5.50785,5.50785,8.399999999999999,32.9,62.2,15.6
2022-07-31 03:00:00,1027.0,9359790.0,9358763.0,5.425565000000001,5.425565000000001,8.928571428571427,33.199999999999996,64.2,15.488888888888889
